Case_Status,Class_Of_Admission,Decision_Date,Employer_Name,Employer_State,Job_Title,US_Economic_Sector,Wage_Offer,Wage_Offer_Unit
Certified-Expired,Others,10/28/2011,"A & H HOSPITALITY, INC. D/B/A HOLIDAY INN EXPRESS",VA,Maids and Housekeeping Cleaners,Hospitality,15475,Annually
Denied,F-1,10/27/2011,"KIMONO FOODS, INC.",NC,"Cooks, Restaurant",Hospitality,15974,Annually
Certified-Expired,Others,10/24/2011,R & N MIDDLETON RESIDENTIAL CARE HOME,CA,Home Health Aides,Health Care,18200,Annually
Denied,Others,10/25/2011,LAGO AZUL LLC,ID,"Food Servers, Nonrestaurant",Hospitality,18262,Annually
Certified,Others,11/3/2011,"BOTNBOT, INC.",CA,Food Preparation Workers,Advanced Mfg,18262,Annually
Certified-Expired,Others,10/24/2011,CIRCLE OF CARE CORPORATION,CA,Home Health Aides,Health Care,18387,Annually
Certified,Others,12/16/2011,HANCHETT PARK HOUSE,CA,Home Health Aides,Health Care,18387,Annually
Denied,Others,10/21/2011,"PARK WEST LANDSCAPE MAINTENANCE, INC.",CA,Landscaping and Groundskeeping Workers,Other Economic Sector,18699,Annually
Denied,Others,10/24/2011,BUCKLEY'S FLOWER SHOP INC.,NY,Landscaping and Groundskeeping Workers,Other Economic Sector,18886,Annually
Certified,Others,11/23/2011,"LIGHT ROCK SPRING WATER CO, INC.",CT,"Packers and Packagers, Hand",Advanced Mfg,18886,Annually
Certified,Others,12/8/2011,MARIA MEDIDA (MEDIDA HOUSEHOLD),AZ,Nannies,Other Economic Sector,18970,Annually
Certified-Expired,Others,10/20/2011,HOME INSTEAD SENIOR CARE,AL,Home Health Aides,Health Care,19011,Annually
Certified-Expired,Others,10/21/2011,HOME INSTEAD SENIOR CARE,AL,Home Health Aides,Health Care,19011,Annually
Certified-Expired,Others,10/21/2011,HOME INSTEAD SENIOR CARE,AL,Home Health Aides,Health Care,19011,Annually
Certified-Expired,Others,10/21/2011,HOME INSTEAD SENIOR CARE,AL,Home Health Aides,Health Care,19011,Annually
