State,Count
Alabama,171
Arkansas,110
Arizona,504
California,7878
Colorado,298
Connecticut,402
Delaware,177
District Of Columbia,212
Florida,1100
Georgia,1198
Hawaii,27
Iowa,163
Idaho,51
Illinois,1815
Indiana,278
Kansas,158
Kentucky,172
Louisiana,124
Maine,41
Maryland,647
Massachusetts,1317
Michigan,1465
Minnesota,318
Missouri,291
Mississippi,50
Montana,18
North Carolina,669
North Dakota,50
Nebraska,120
New Hampshire,124
New Jersey,3539
New Mexico,74
Nevada,77
New York,2709
Ohio,678
Oklahoma,102
Oregon,478
Pennsylvania,1048
Rhode Island,47
South Carolina,114
South Dakota,16
Tennessee,201
Texas,3078
Utah,141
Virginia,1430
Vermont,60
Washington,2142
Wisconsin,261
West Virginia,45
Wyoming,23
